Title,RT Audience Freshness,RT Freshness,RT Audience Score,RT Score,IMDB Rating
Captain America: The Winter Soldier,92,89,86,75,78
Dawn of the Planet of the Apes,89,90,84,79,77
Guardians of the Galaxy,93,91,88,77,81
Interstellar,86,72,84,70,87
Maleficent,71,49,76,57,71
The Amazing Spider-Man 2,66,53,74,59,69
The Hobbit: The Battle of the Five Armies,76,61,78,63,75
The Hunger Games: Mockingjay - Part 1,73,65,76,63,68
Transformers: Age of Extinction,52,18,66,39,58
X-Men: Days of Future Past,92,91,86,76,81
Despicable Me 2,85,74,84,66,75
Fast & Furious 6,84,69,84,62,72
Frozen,86,89,86,77,77
Gravity,80,97,80,90,79
Iron Man 3,79,79,80,70,73
Man of Steel,76,56,78,62,72
Monsters University,82,78,80,68,74
The Hobbit: The Desolation of Smaug,86,74,82,68,80
The Hunger Games: Catching Fire,90,89,86,75,77
Thor: The Dark World,78,65,78,62,71
Ice Age: Continental Drift,62,37,72,51,67
Madagascar 3: Europe's Most Wanted,73,79,76,68,70
Men in Black 3,71,69,76,61,69
Skyfall,86,92,82,82,78
The Amazing Spider-Man,77,72,78,67,71
The Avengers,91,92,88,80,82
The Dark Knight Rises,90,87,86,80,85
The Hobbit: An Unexpected Journey,83,64,82,66,80
The Hunger Games,81,84,82,72,73
The Twilight Saga: Breaking Dawn - Part 2,70,48,76,52,56
Cars 2,51,39,66,55,63
Fast Five,83,78,80,64,73
Harry Potter and the Deathly Hallows - Part 2,89,96,86,83,81
Kung Fu Panda 2,74,81,76,69,73
Mission: Impossible - Ghost Protocol,76,93,78,77,74
Pirates of the Caribbean: On Stranger Tides,54,33,70,51,67
The Hangover Part II,53,34,68,50,65
The Smurfs,44,22,62,40,55
The Twilight Saga: Breaking Dawn - Part 1,94,0,90,0,49
Transformers: Dark of the Moon,56,35,70,49,63
Alice in Wonderland,55,51,70,57,65
Despicable Me,82,81,80,68,77
Harry Potter and the Deathly Hallows - Part 1,84,78,82,71,77
How to Train Your Dragon,91,98,84,79,82
Inception,91,86,84,80,88
Iron Man 2,72,73,74,65,71
Shrek Forever After,54,58,70,59,64
Tangled,87,90,82,75,78
The Twilight Saga: Eclipse,60,49,72,54,49
Toy Story 3,89,99,86,89,84
2012,47,39,64,50,58
Angels & Demons,57,37,68,51,67
Avatar,82,83,82,74,79
Harry Potter and the Half-Blood Prince,77,84,76,72,75
Ice Age: Dawn of the Dinosaurs,63,45,72,54,70
Sherlock Holmes,77,70,74,62,76
The Hangover,84,79,80,68,78
The Twilight Saga: New Moon,61,28,72,47,46
Transformers: Revenge of the Fallen,58,19,70,39,60
Up,90,98,76,87,83
Hancock,60,41,72,54,65
Indiana Jones and the Kingdom of the Crystal Skull,54,78,66,69,62
Iron Man,91,93,84,76,79
Kung Fu Panda,82,87,78,72,76
Madagascar: Escape 2 Africa,66,64,72,59,67
Mamma Mia!,66,54,72,55,64
