State or district,Eectoral Method,# Clinton,% Clinton,Electoral Votes Clinton,# Trump,% Trump,Electoral Votes Trump,Abbreviation,Row,Col
Alabama,WTA,718084,0.346,0,1306925,0.629,9,AL,6,7
Alaska,WTA,93007,0.377,0,130415,0.529,3,AK,0,0
Arizona,WTA,933655,0.454,0,1017166,0.496,11,AZ,5,2
Arkansas,WTA,378729,0.338,0,677904,0.606,6,AR,5,5
California,WTA,5589936,0.615,55,302195,0.332,0,CA,4,1
Colorado,WTA,1208095,0.472,9,1136354,0.444,0,CO,4,3
Connecticut,WTA,823360,0.539,7,637919,0.417,0,CT,3,10
Delaware,WTA,235581,0.534,3,185103,0.419,0,DE,5,9
"Washington, D.C.",WTA,260223,0.905,3,11553,0.04,0,DC,4,10
Florida,WTA,4485745,0.478,0,4605515,0.491,29,FL,7,9
Georgia,WTA,1837300,0.456,0,2068623,0.513,16,GA,6,8
Hawaii,WTA,251853,0.623,4,121648,0.301,0,HI,7,1
Idaho,WTA,189677,0.276,0,407199,0.592,4,ID,2,2
Illinois,WTA,2977498,0.554,20,2118179,0.394,0,IL,2,6
Indiana,WTA,1031953,0.379,0,1556200,0.572,11,IN,3,6
Iowa,WTA,650790,0.422,0,798923,0.518,6,IA,3,5
Kansas,WTA,414788,0.362,0,65609,0.572,6,KS,5,4
Kentucky,WTA,628834,0.327,0,1202942,0.625,8,KY,4,6
Louisiana,WTA,779535,0.384,0,1178004,0.581,8,LA,6,5
Maine,CD,354873,0.479,3,334838,0.452,1,ME,0,11
Maryland,WTA,149951,0.605,10,873646,0.353,0,MD,4,9
Massachusetts,WTA,1964768,0.608,11,1083069,0.335,0,MA,2,11
Michigan,WTA,2267798,0.473,0,2279221,0.476,0,MI,2,8
Minnesota,WTA,1366676,0.469,10,1322891,0.454,0,MN,2,5
Mississippi,WTA,462001,0.583,0,678457,0.583,6,MS,6,6
Missouri,WTA,1054889,0.378,0,1585753,0.569,10,MO,4,5
Montana,WTA,174521,0.36,0,274120,0.565,3,MT,2,3
Nebraska,CD,273858,0.34,0,485819,0.603,2,NE,4,4
Nevada,WTA,537753,0.479,6,511319,0.455,0,NV,3,2
New Hampshire,WTA,348521,0.476,4,345789,0.473,0,NH,1,11
New Jersey,WTA,2021756,0.55,14,1535513,0.418,0,NJ,3,9
New Mexico,WTA,380724,0.483,5,315875,0.4,0,NM,5,3
New York,WTA,4143874,0.588,29,2640570,0.375,0,NY,2,9
North Carolina,WTA,2162074,0.467,0,2339603,0.505,15,NC,5,7
North Dakota,WTA,93526,0.272,0,216133,0.63,3,ND,2,4
Ohio,WTA,2317001,0.435,0,2771984,0.521,18,OH,3,7
Oklahoma,WTA,419788,0.289,0,947934,0.653,7,OK,6,4
Oregon,WTA,934631,0.517,7,742506,0.411,0,OR,3,1
Pennsylvania,WTA,2844705,0.476,0,2912941,0.488,20,PA,3,8
Rhode Island,WTA,249902,0.554,4,179421,0.398,0,RI,2,10
South Carolina,WTA,849469,0.408,0,1143611,0.549,9,SC,5,8
South Dakota,WTA,117442,0.317,0,227701,0.615,3,SD,3,4
Tennessee,WTA,867110,0.349,0,1517402,0.611,11,TN,5,6
Texas,WTA,3867816,0.433,0,4681590,0.524,38,TX,7,4
Utah,WTA,237241,0.278,0,397004,0.466,6,UT,4,2
Vermont,WTA,178117,0.611,3,95050,0.326,0,VT,1,10
Virginia,WTA,1916845,0.499,13,1731156,0.45,0,VA,4,8
Washington,WTA,1364934,0.549,12,950710,0.383,0,WA,2,1
West Virginia,WTA,187457,0.265,0,486198,0.687,5,WV,4,7
Wisconsin,WTA,1382210,0.469,0,1409467,0.479,10,WI,2,7
Wyoming,WTA,55969,0.225,0,174248,0.701,3,WY,3,3
