Year,Month,Word 1,Word 2,Word 3
2009,Jan,Gaza,Israel,UN
2009,Feb,Israel,Gaza,UK
2009,Mar,Israel,Gaza,US
2009,Apr,Israel,G20,Flu
2009,May,Israel,Korea,Iran
2009,Jun,Iran,Police,People
2009,Jul,Israel,Iran,Police
2009,Aug,Israel,Government,UK
2009,Sep,People,Police,US
2009,Oct,People,Police,Iran
2009,Nov,War,Israel,People
2009,Dec,People,War,Iran
2010,Jan,Haiti,War,Israel
2010,Feb,Israel,Government,Dubai
2010,Mar,Israel,Government,China
2010,Apr,Israel,UK,Video
2010,May,Israel,Gaza ,Government
2010,Jun,Gaza,Israel,People
2010,Jul,Israel,Afghanistan,War
2010,Aug,Israel,Afghanistan,Iran
2010,Sep,Israel,Government,Now
2010,Oct,China,People,Years
2010,Nov,South,Korea,Government
2010,Dec,WikiLeaks,Julian,Police
2011,Jan,Egypt,Tunisia,Palestinian
2011,Feb,Egypt,Libya,Mubarak
2011,Mar,Japan,Fukushima,Nuclear
2011,Apr,Killed,Fukushima,Syrian
2011,May,Laden,Killed,Nuclear
2011,Jun,China,Syrian,Internet
2011,Jul,News,Murdoch,World
2011,Aug,Police,London,Syria
2011,Sep,Israel,UN,Chinese
2011,Oct,China,Israel,New
2011,Nov,China,Nuclear,Iran
2011,Dec,China,Russia,North (Korea)
2012,Jan,Iran,People,Oil
2012,Feb,Iran,Syrian,China
2012,Mar,China,People,Government
2012,Apr,China,US,North (Korea)
2012,May,China,Government,German
2012,Jun,China,Syria,Government
2012,Jul,Syria,Israel,Police
2012,Aug,Assange,Iran,Riot
2012,Sep,US,Iran,China
2012,Oct,Police,People,China
2012,Nov,Israel,Government,Gaza
2012,Dec,US,China,India
2013,Jan,China,Police,Mali
2013,Feb,Korea,Police,China
2013,Mar,North,Korea,US
2013,Apr,North,Korea,US
2013,May,Police,US,Syria
2013,Jun,US,Snowden,Turkish
2013,Jul,Snowden,US,Police
2013,Aug,Syria,US,Police
2013,Sep,Syria,US,Weapons
2013,Oct,US,NSA,Snowden
2013,Nov,NSA,US,Government
2013,Dec,NSA,US,Snowden
2014,Jan,US,People,Police
2014,Feb,Ukraine,US,Russia
2014,Mar,Russia,Ukraine,Crimea
2014,Apr,Ukraine,Russia,US
2014,May,Ukraine,Russia,US
2014,Jun,Iraq,World,US
2014,Jul,Gaza,Israel,US
2014,Aug,Ukraine,ISIS,Israel
2014,Sep,ISIS,Islamic,Ebola
2014,Oct,Ebola,ISIS,State
2014,Nov,US,State,Russia
2014,Dec,US,Russia,Against
2015,Jan,ISIS,Charlie,Hebdo
2015,Feb,ISIS,Ukraine,US
2015,Mar,US,ISIS,President
2015,Apr,Against,Russia,China
2015,May,US,World,ISIS
2015,Jun,First,Government,Russia
2015,Jul,China,ISIS,People
2015,Aug,China,US,Found
2015,Sep,Refugees,US,Syria
2015,Oct,US,Syria,Saudi
2015,Nov,ISIS,Paris,Russia
2015,Dec,ISIS,Saudi,Government
